"drugbank_id"	"pert_id"	"inchi_key"	"cmap_name"	"compound_aliases"	"target"	"moa"	"common_name"
"DB00159"	"BRD-K47192521"	"JAZBEHYOTPTENJ-JLNKQSITSA-N"	"ICOSAPENT"	""	"PTGS1"	"Platelet aggregation inhibitor"	"ICOSAPENT"
"DB00159"	"BRD-K47192521"	"JAZBEHYOTPTENJ-JLNKQSITSA-N"	"ICOSAPENT"	""	"PTGS2"	"Platelet aggregation inhibitor"	"ICOSAPENT"
"DB00162"	"BRD-K22429181"	"FPIPGXGPPPQFEQ-OVSJKPMPSA-N"	"RETINOL"	""	"RXRA"	"Retinoid receptor ligand"	"VITAMIN A"
"DB00162"	"BRD-K22429181"	"FPIPGXGPPPQFEQ-OVSJKPMPSA-N"	"RETINOL"	""	"RXRB"	"Retinoid receptor ligand"	"VITAMIN A"
"DB00162"	"BRD-K22429181"	"FPIPGXGPPPQFEQ-OVSJKPMPSA-N"	"RETINOL"	""	"RXRG"	"Retinoid receptor ligand"	"VITAMIN A"
"DB00165"	"BRD-K14349461"	"LXNHXLLTXMVWPM-UHFFFAOYSA-N"	"PYRIDOXINE"	""	""	""	"PYRIDOXINE"
"DB00170"	"BRD-K78126613"	"MJVAVZPDRWSRRC-UHFFFAOYSA-N"	"MENADIONE"	""	""	""	"MENADIONE"
"DB00175"	"BRD-K31447894"	"TUZYXOIXSAXUGO-QBHFJHEUSA-N"	"PRAVASTATIN"	""	"HMGCR"	"HMGCR inhibitor"	"PRAVASTATIN"
"DB00175"	"BRD-K60511616"	"TUZYXOIXSAXUGO-PZAWKZKUSA-N"	"PRAVASTATIN"	""	"HMGCR"	"HMGCR inhibitor"	"PRAVASTATIN"
"DB00175"	"BRD-K25841245"	"TUZYXOIXSAXUGO-SDYRHPPTSA-N"	"PRAVASTATIN"	""	"HMGCR"	"HMGCR inhibitor"	"PRAVASTATIN"
"DB00175"	"BRD-A71816415"	"TUZYXOIXSAXUGO-XYLZAPOUSA-N"	"PRAVASTATIN"	""	"HMGCR"	"HMGCR inhibitor"	"PRAVASTATIN"
"DB00175"	"BRD-A11170096"	"TUZYXOIXSAXUGO-UHFFFAOYSA-N"	"PRAVASTATIN"	""	"HMGCR"	"HMGCR inhibitor"	"PRAVASTATIN"
"DB00176"	"BRD-K53517854"	"CJOFXWAVKWHTFT-XSFVSMFZSA-N"	"FLUVOXAMINE"	""	"SLC6A4"	"Selective serotonin reuptake inhibitor"	"FLUVOXAMINE"
"DB00176"	"BRD-K72676686"	"CJOFXWAVKWHTFT-UHFFFAOYSA-N"	"FLUVOXAMINE"	""	"SLC6A4"	"Selective serotonin reuptake inhibitor"	"FLUVOXAMINE"
"DB00176"	"BRD-K31534764"	"CJOFXWAVKWHTFT-ZHZULCJRSA-N"	"FLUVOXAMINE"	""	"SLC6A4"	"Selective serotonin reuptake inhibitor"	"FLUVOXAMINE"
"DB00177"	"BRD-K45158365"	"ACWBQPMHZXGDFX-QFIPXVFZSA-N"	"VALSARTAN"	""	"AGTR1"	"Angiotensin receptor antagonist"	"VALSARTAN"
"DB00177"	"BRD-A14792000"	"ACWBQPMHZXGDFX-UHFFFAOYSA-N"	"VALSARTAN"	""	"AGTR1"	"Angiotensin receptor antagonist"	"VALSARTAN"
"DB00178"	"BRD-A65739223"	"HDACQVRGBOVJII-QJUJLUFUSA-N"	"RAMIPRIL"	""	"ACE"	"Angiotensin converting enzyme inhibitor"	"RAMIPRIL"
"DB00178"	"BRD-K05111602"	"HDACQVRGBOVJII-ZDNSCYFHSA-N"	"RAMIPRIL"	""	"ACE"	"Angiotensin converting enzyme inhibitor"	"RAMIPRIL"
"DB00178"	"BRD-K89348303"	"HDACQVRGBOVJII-JBDAPHQKSA-N"	"RAMIPRIL"	""	"ACE"	"Angiotensin converting enzyme inhibitor"	"RAMIPRIL"
"DB00179"	"BRD-A87130939"	"HCZKYJDFEPMADG-UHFFFAOYSA-N"	"MASOPROCOL"	""	"ALOX5"	"Lipoxygenase inhibitor"	"MASOPROCOL"
"DB00180"	"BRD-A65449987"	"XSFJVAJPIHIPKU-CCRGDLLISA-N"	"FLUNISOLIDE"	""	"NR3C1"	"Cytochrome P450 inhibitor"	"FLUNISOLIDE"
"DB00180"	"BRD-K49577446"	"XSFJVAJPIHIPKU-QYOXGAPUSA-N"	"FLUNISOLIDE"	""	"NR3C1"	"Cytochrome P450 inhibitor"	"FLUNISOLIDE"
"DB00180"	"BRD-K18674849"	"XSFJVAJPIHIPKU-BTUWQHORSA-N"	"FLUNISOLIDE"	""	"NR3C1"	"Cytochrome P450 inhibitor"	"FLUNISOLIDE"
"DB00181"	"BRD-A84174873"	"KPYSYYIEGFHWSV-UHFFFAOYSA-N"	"BACLOFEN"	""	"GABBR1"	"GABA receptor agonist"	"BACLOFEN"
"DB00181"	"BRD-A84174873"	"KPYSYYIEGFHWSV-UHFFFAOYSA-N"	"BACLOFEN"	""	"GABBR2"	"GABA receptor agonist"	"BACLOFEN"
"DB00184"	"BRD-K05395900"	"SNICXCGAKADSCV-JTQLQIEISA-N"	"NICOTINE"	""	"CHRNA9"	"Acetylcholine receptor agonist"	"NICOTINE"
"DB00184"	"BRD-K05395900"	"SNICXCGAKADSCV-JTQLQIEISA-N"	"NICOTINE"	""	"CHRNB2"	"Acetylcholine receptor agonist"	"NICOTINE"
"DB00184"	"BRD-K05395900"	"SNICXCGAKADSCV-JTQLQIEISA-N"	"NICOTINE"	""	"CHRNA4"	"Acetylcholine receptor agonist"	"NICOTINE"
"DB00184"	"BRD-K05395900"	"SNICXCGAKADSCV-JTQLQIEISA-N"	"NICOTINE"	""	"CHRNA10"	"Acetylcholine receptor agonist"	"NICOTINE"
"DB00185"	"BRD-M98279124"	"YMMKDPCCYMGDHD-JWGPUQBJSA-N"	"CEVIMELINE"	""	"CHRM3"	"Acetylcholine receptor agonist"	"CEVIMELINE"
"DB00185"	"BRD-M98279124"	"YMMKDPCCYMGDHD-JWGPUQBJSA-N"	"CEVIMELINE"	""	"CHRM1"	"Acetylcholine receptor agonist"	"CEVIMELINE"
"DB00186"	"BRD-A11990600"	"DIWRORZWFLOCLC-UHFFFAOYSA-N"	"LORAZEPAM"	""	"GABRA1"	"Benzodiazepine receptor agonist"	"LORAZEPAM"
"DB00186"	"BRD-A11990600"	"DIWRORZWFLOCLC-UHFFFAOYSA-N"	"LORAZEPAM"	""	"GABRA3"	"Benzodiazepine receptor agonist"	"LORAZEPAM"
"DB00186"	"BRD-A11990600"	"DIWRORZWFLOCLC-UHFFFAOYSA-N"	"LORAZEPAM"	""	"GABRE"	"Benzodiazepine receptor agonist"	"LORAZEPAM"
"DB00186"	"BRD-A11990600"	"DIWRORZWFLOCLC-UHFFFAOYSA-N"	"LORAZEPAM"	""	"GABRA6"	"Benzodiazepine receptor agonist"	"LORAZEPAM"
"DB00186"	"BRD-A11990600"	"DIWRORZWFLOCLC-UHFFFAOYSA-N"	"LORAZEPAM"	""	"GABRG1"	"Benzodiazepine receptor agonist"	"LORAZEPAM"
"DB00186"	"BRD-A11990600"	"DIWRORZWFLOCLC-UHFFFAOYSA-N"	"LORAZEPAM"	""	"GABRG2"	"Benzodiazepine receptor agonist"	"LORAZEPAM"
"DB00186"	"BRD-A11990600"	"DIWRORZWFLOCLC-UHFFFAOYSA-N"	"LORAZEPAM"	""	"GABRP"	"Benzodiazepine receptor agonist"	"LORAZEPAM"
"DB00186"	"BRD-A11990600"	"DIWRORZWFLOCLC-UHFFFAOYSA-N"	"LORAZEPAM"	""	"GABRA4"	"Benzodiazepine receptor agonist"	"LORAZEPAM"
"DB00186"	"BRD-A11990600"	"DIWRORZWFLOCLC-UHFFFAOYSA-N"	"LORAZEPAM"	""	"GABRQ"	"Benzodiazepine receptor agonist"	"LORAZEPAM"
"DB00186"	"BRD-A11990600"	"DIWRORZWFLOCLC-UHFFFAOYSA-N"	"LORAZEPAM"	""	"GABRB1"	"Benzodiazepine receptor agonist"	"LORAZEPAM"
"DB00186"	"BRD-A11990600"	"DIWRORZWFLOCLC-UHFFFAOYSA-N"	"LORAZEPAM"	""	"GABRA5"	"Benzodiazepine receptor agonist"	"LORAZEPAM"
"DB00186"	"BRD-A11990600"	"DIWRORZWFLOCLC-UHFFFAOYSA-N"	"LORAZEPAM"	""	"GABRB3"	"Benzodiazepine receptor agonist"	"LORAZEPAM"
"DB00186"	"BRD-A11990600"	"DIWRORZWFLOCLC-UHFFFAOYSA-N"	"LORAZEPAM"	""	"GABRB2"	"Benzodiazepine receptor agonist"	"LORAZEPAM"
"DB00186"	"BRD-A11990600"	"DIWRORZWFLOCLC-UHFFFAOYSA-N"	"LORAZEPAM"	""	"GABRA2"	"Benzodiazepine receptor agonist"	"LORAZEPAM"
"DB00186"	"BRD-A11990600"	"DIWRORZWFLOCLC-UHFFFAOYSA-N"	"LORAZEPAM"	""	"GABRD"	"Benzodiazepine receptor agonist"	"LORAZEPAM"
"DB00186"	"BRD-A11990600"	"DIWRORZWFLOCLC-UHFFFAOYSA-N"	"LORAZEPAM"	""	"GABRG3"	"Benzodiazepine receptor agonist"	"LORAZEPAM"
"DB00187"	"BRD-A07395371"	"AQNDDEOPVVGCPG-UHFFFAOYSA-N"	"ESMOLOL"	""	"ADRB1"	"Adrenergic receptor antagonist"	"ESMOLOL"
"DB00188"	"BRD-K50691590"	"RFGAQTOFZHCFHG-NVXWUHKLSA-N"	"BORTEZOMIB"	""	"PSMB1"	"NFKB pathway inhibitor"	"BORTEZOMIB"
"DB00188"	"BRD-K88510285"	"GXJABQQUPOEUTA-RDJZCZTQSA-N"	"BORTEZOMIB"	""	"PSMB5"	"NFKB pathway inhibitor"	"BORTEZOMIB"
"DB00188"	"BRD-K50691590"	"RFGAQTOFZHCFHG-NVXWUHKLSA-N"	"BORTEZOMIB"	""	"PSMB5"	"NFKB pathway inhibitor"	"BORTEZOMIB"
"DB00188"	"BRD-K88510285"	"GXJABQQUPOEUTA-RDJZCZTQSA-N"	"BORTEZOMIB"	""	"PSMB5"	"Proteasome inhibitor"	"BORTEZOMIB"
"DB00188"	"BRD-K88510285"	"GXJABQQUPOEUTA-RDJZCZTQSA-N"	"BORTEZOMIB"	""	"PSMB2"	"Proteasome inhibitor"	"BORTEZOMIB"
"DB00188"	"BRD-K50691590"	"RFGAQTOFZHCFHG-NVXWUHKLSA-N"	"BORTEZOMIB"	""	"PSMB5"	"Proteasome inhibitor"	"BORTEZOMIB"
"DB00188"	"BRD-K50691590"	"RFGAQTOFZHCFHG-NVXWUHKLSA-N"	"BORTEZOMIB"	""	"PSMB2"	"NFKB pathway inhibitor"	"BORTEZOMIB"
"DB00188"	"BRD-K88510285"	"GXJABQQUPOEUTA-RDJZCZTQSA-N"	"BORTEZOMIB"	""	"PSMB1"	"Proteasome inhibitor"	"BORTEZOMIB"
"DB00188"	"BRD-K88510285"	"GXJABQQUPOEUTA-RDJZCZTQSA-N"	"BORTEZOMIB"	""	"PSMB1"	"NFKB pathway inhibitor"	"BORTEZOMIB"
"DB00188"	"BRD-K88510285"	"GXJABQQUPOEUTA-RDJZCZTQSA-N"	"BORTEZOMIB"	""	"PSMB2"	"NFKB pathway inhibitor"	"BORTEZOMIB"
"DB00188"	"BRD-K50691590"	"RFGAQTOFZHCFHG-NVXWUHKLSA-N"	"BORTEZOMIB"	""	"PSMB2"	"Proteasome inhibitor"	"BORTEZOMIB"
"DB00188"	"BRD-K50691590"	"RFGAQTOFZHCFHG-NVXWUHKLSA-N"	"BORTEZOMIB"	""	"PSMB1"	"Proteasome inhibitor"	"BORTEZOMIB"
"DB00190"	"BRD-A69512159"	"TZFNLOMSOLWIDK-UHFFFAOYSA-N"	"CARBIDOPA"	""	"DDC"	"Aromatic L-amino acid decarboxylase inhibitor"	"CARBIDOPA"
"DB00190"	"BRD-K78712176"	"TZFNLOMSOLWIDK-JTQLQIEISA-N"	"CARBIDOPA"	""	"DDC"	"Aromatic L-amino acid decarboxylase inhibitor"	"CARBIDOPA"
"DB00191"	"BRD-K96319534"	"DHHVAGZRUROJKS-UHFFFAOYSA-N"	"PHENTERMINE"	""	"SLC6A2"	"Serotonin reuptake inhibitor"	"PHENTERMINE"
"DB00191"	"BRD-K96319534"	"DHHVAGZRUROJKS-UHFFFAOYSA-N"	"PHENTERMINE"	""	"SLC6A2"	"Dopamine uptake inhibitor"	"PHENTERMINE"
"DB00193"	"BRD-K04412738"	"TVYLLZQTGLZFBW-ZBFHGGJFSA-N"	"TRAMADOL"	""	"SLC6A2"	"Norepinephrine reputake inhibitor"	"TRAMADOL"
"DB00193"	"BRD-K51033547"	"TVYLLZQTGLZFBW-GOEBONIOSA-N"	"TRAMADOL"	""	"SLC6A4"	"Opioid receptor agonist"	"TRAMADOL"
"DB00193"	"BRD-K04412738"	"TVYLLZQTGLZFBW-ZBFHGGJFSA-N"	"TRAMADOL"	""	"OPRM1"	"Opioid receptor agonist"	"TRAMADOL"
"DB00193"	"BRD-K51033547"	"TVYLLZQTGLZFBW-GOEBONIOSA-N"	"TRAMADOL"	""	"SLC6A2"	"Opioid receptor agonist"	"TRAMADOL"
"DB00193"	"BRD-K04412738"	"TVYLLZQTGLZFBW-ZBFHGGJFSA-N"	"TRAMADOL"	""	"OPRM1"	"Norepinephrine reputake inhibitor"	"TRAMADOL"
"DB00193"	"BRD-K04412738"	"TVYLLZQTGLZFBW-ZBFHGGJFSA-N"	"TRAMADOL"	""	"SLC6A2"	"Serotonin reuptake inhibitor"	"TRAMADOL"
"DB00193"	"BRD-K51033547"	"TVYLLZQTGLZFBW-GOEBONIOSA-N"	"TRAMADOL"	""	"OPRM1"	"Norepinephrine reputake inhibitor"	"TRAMADOL"
"DB00193"	"BRD-K51033547"	"TVYLLZQTGLZFBW-GOEBONIOSA-N"	"TRAMADOL"	""	"SLC6A2"	"Norepinephrine reputake inhibitor"	"TRAMADOL"
"DB00193"	"BRD-K04412738"	"TVYLLZQTGLZFBW-ZBFHGGJFSA-N"	"TRAMADOL"	""	"SLC6A4"	"Serotonin reuptake inhibitor"	"TRAMADOL"
"DB00193"	"BRD-K04412738"	"TVYLLZQTGLZFBW-ZBFHGGJFSA-N"	"TRAMADOL"	""	"SLC6A2"	"Opioid receptor agonist"	"TRAMADOL"
"DB00193"	"BRD-K51033547"	"TVYLLZQTGLZFBW-GOEBONIOSA-N"	"TRAMADOL"	""	"SLC6A4"	"Serotonin reuptake inhibitor"	"TRAMADOL"
"DB00193"	"BRD-K04412738"	"TVYLLZQTGLZFBW-ZBFHGGJFSA-N"	"TRAMADOL"	""	"OPRM1"	"Serotonin reuptake inhibitor"	"TRAMADOL"
"DB00193"	"BRD-K51033547"	"TVYLLZQTGLZFBW-GOEBONIOSA-N"	"TRAMADOL"	""	"SLC6A2"	"Serotonin reuptake inhibitor"	"TRAMADOL"
"DB00193"	"BRD-K51033547"	"TVYLLZQTGLZFBW-GOEBONIOSA-N"	"TRAMADOL"	""	"OPRM1"	"Opioid receptor agonist"	"TRAMADOL"
"DB00193"	"BRD-K04412738"	"TVYLLZQTGLZFBW-ZBFHGGJFSA-N"	"TRAMADOL"	""	"SLC6A4"	"Opioid receptor agonist"	"TRAMADOL"
"DB00193"	"BRD-K04412738"	"TVYLLZQTGLZFBW-ZBFHGGJFSA-N"	"TRAMADOL"	""	"SLC6A4"	"Norepinephrine reputake inhibitor"	"TRAMADOL"
"DB00193"	"BRD-K51033547"	"TVYLLZQTGLZFBW-GOEBONIOSA-N"	"TRAMADOL"	""	"OPRM1"	"Serotonin reuptake inhibitor"	"TRAMADOL"
"DB00193"	"BRD-K51033547"	"TVYLLZQTGLZFBW-GOEBONIOSA-N"	"TRAMADOL"	""	"SLC6A4"	"Norepinephrine reputake inhibitor"	"TRAMADOL"
"DB00194"	"BRD-K72093121"	"OIRDTQYFTABQOQ-UHTZMRCNSA-N"	"VIDARABINE"	""	"ADA"	"Antiviral"	"VIDARABINE"
"DB00195"	"BRD-A02759312"	"NWIUTZDMDHAVTP-UHFFFAOYSA-N"	"BETAXOLOL"	""	"ADRB2"	"Adrenergic receptor antagonist"	"BETAXOLOL"
"DB00195"	"BRD-A02759312"	"NWIUTZDMDHAVTP-UHFFFAOYSA-N"	"BETAXOLOL"	""	"ADRB1"	"Adrenergic receptor antagonist"	"BETAXOLOL"
"DB00196"	"BRD-K05977355"	"RFHAOTPXVQNOHP-UHFFFAOYSA-N"	"FLUCONAZOLE"	""	"CYP51A1"	"Sterol demethylase inhibitor"	"FLUCONAZOLE"
"DB00197"	"BRD-A13084692"	"GXPHKUHSUJUWKP-UHFFFAOYSA-N"	"TROGLITAZONE"	""	"PPARG"	"Insulin sensitizer"	"TROGLITAZONE"
"DB00197"	"BRD-A13084692"	"GXPHKUHSUJUWKP-UHFFFAOYSA-N"	"TROGLITAZONE"	""	"PPARG"	"PPAR receptor agonist"	"TROGLITAZONE"
"DB00198"	"BRD-K76011241"	"VSZGPKBBMSAYNT-RRFJBIMHSA-N"	"OSELTAMIVIR-PHOSPHATE"	""	""	""	"OSELTAMIVIR"
"DB00199"	"BRD-A44827100"	"NSYZCCDSJNWWJL-UHFFFAOYSA-N"	"ERYTHROMYCIN"	""	"MLNR"	"NFKB pathway inhibitor"	"ERYTHROMYCIN"
"DB00199"	"BRD-K63550407"	"ULGZDMOVFRHVEP-RWJQBGPGSA-N"	"ERYTHROMYCIN"	""	"MLNR"	"NFKB pathway inhibitor"	"ERYTHROMYCIN"
"DB00201"	"BRD-K02404261"	"RYYVLZVUVIJVGH-UHFFFAOYSA-N"	"CAFFEINE"	""	"ATM"	"Adenosine receptor antagonist"	"CAFFEINE"
"DB00201"	"BRD-K02404261"	"RYYVLZVUVIJVGH-UHFFFAOYSA-N"	"CAFFEINE"	""	"ADORA2A"	"Phosphodiesterase inhibitor"	"CAFFEINE"
"DB00201"	"BRD-K02404261"	"RYYVLZVUVIJVGH-UHFFFAOYSA-N"	"CAFFEINE"	""	"ATM"	"Phosphodiesterase inhibitor"	"CAFFEINE"
"DB00201"	"BRD-K02404261"	"RYYVLZVUVIJVGH-UHFFFAOYSA-N"	"CAFFEINE"	""	"RYR1"	"Phosphodiesterase inhibitor"	"CAFFEINE"
"DB00201"	"BRD-K02404261"	"RYYVLZVUVIJVGH-UHFFFAOYSA-N"	"CAFFEINE"	""	"ADORA2B"	"Adenosine receptor antagonist"	"CAFFEINE"
"DB00201"	"BRD-K02404261"	"RYYVLZVUVIJVGH-UHFFFAOYSA-N"	"CAFFEINE"	""	"ADORA2B"	"Phosphodiesterase inhibitor"	"CAFFEINE"
"DB00201"	"BRD-K02404261"	"RYYVLZVUVIJVGH-UHFFFAOYSA-N"	"CAFFEINE"	""	"ADORA1"	"Adenosine receptor antagonist"	"CAFFEINE"
"DB00201"	"BRD-K02404261"	"RYYVLZVUVIJVGH-UHFFFAOYSA-N"	"CAFFEINE"	""	"ITPR1"	"Phosphodiesterase inhibitor"	"CAFFEINE"
"DB00201"	"BRD-K02404261"	"RYYVLZVUVIJVGH-UHFFFAOYSA-N"	"CAFFEINE"	""	"ADORA1"	"Phosphodiesterase inhibitor"	"CAFFEINE"
"DB00201"	"BRD-K02404261"	"RYYVLZVUVIJVGH-UHFFFAOYSA-N"	"CAFFEINE"	""	"RYR1"	"Adenosine receptor antagonist"	"CAFFEINE"
"DB00201"	"BRD-K02404261"	"RYYVLZVUVIJVGH-UHFFFAOYSA-N"	"CAFFEINE"	""	"ITPR1"	"Adenosine receptor antagonist"	"CAFFEINE"
"DB00201"	"BRD-K02404261"	"RYYVLZVUVIJVGH-UHFFFAOYSA-N"	"CAFFEINE"	""	"ADORA2A"	"Adenosine receptor antagonist"	"CAFFEINE"
"DB00202"	"BRD-K45497762"	"AXOIZCJOOAYSMI-UHFFFAOYSA-N"	"SUCCINYLCHOLINE-CHLORIDE"	""	""	""	"SUCCINYLCHOLINE"
"DB00203"	"BRD-K79759585"	"BNRNXUUZRGQAQC-UHFFFAOYSA-N"	"SILDENAFIL"	""	"PDE5A"	"Phosphodiesterase inhibitor"	"SILDENAFIL"
"DB00203"	"BRD-K50128260"	"BNRNXUUZRGQAQC-UHFFFAOYSA-N"	"SILDENAFIL"	""	"PDE5A"	"Phosphodiesterase inhibitor"	"SILDENAFIL"
"DB00204"	"BRD-K86887724"	"IXTMWRCNAAVVAI-UHFFFAOYSA-N"	"DOFETILIDE"	""	"KCNH2"	"Potassium channel blocker"	"DOFETILIDE"
"DB00205"	"BRD-K88429204"	"WKSAUQYGYAYLPV-UHFFFAOYSA-N"	"PYRIMETHAMINE"	""	""	""	"PYRIMETHAMINE"
"DB00206"	"BRD-K95921201"	"QEVHRUUCFGRFIF-MDEJGZGSSA-N"	"RESERPINE"	""	"SLC18A1"	"Vesicular monoamine transporter inhibitor"	"RESERPINE"
"DB00206"	"BRD-K44495371"	"QEVHRUUCFGRFIF-UQJIOEFNSA-N"	"RESERPINE"	""	"SLC18A2"	"Vesicular monoamine transporter inhibitor"	"RESERPINE"
"DB00206"	"BRD-K44495371"	"QEVHRUUCFGRFIF-UQJIOEFNSA-N"	"RESERPINE"	""	"SLC18A1"	"Vesicular monoamine transporter inhibitor"	"RESERPINE"
"DB00206"	"BRD-K95921201"	"QEVHRUUCFGRFIF-MDEJGZGSSA-N"	"RESERPINE"	""	"SLC18A2"	"Vesicular monoamine transporter inhibitor"	"RESERPINE"
"DB00207"	"BRD-K74501079"	"MQTOSJVFKKJCRP-BICOPXKESA-N"	"AZITHROMYCIN"	""	""	""	"AZITHROMYCIN"
"DB00207"	"BRD-K73794685"	"MQTOSJVFKKJCRP-MTXCBGCVSA-N"	"AZITHROMYCIN"	""	""	""	"AZITHROMYCIN"
